,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
629,"Belleair Beach, Florida",2.33,1.42,0.0,89.39,6.86,0.0,0.0,0.0
630,"Belleair Bluffs, Florida",3.51,0.26,0.0,91.49,2.41,0.61,1.71,0.0
631,"Belle Glade, Florida",57.05,0.29,0.0,7.48,32.1,0.0,1.49,1.59
632,"Belle Isle, Florida",3.09,2.41,0.0,78.35,11.82,0.0,3.3,1.02
633,"Center Hill, Florida",14.73,0.0,0.0,54.11,26.25,0.0,0.43,4.48
634,"Cedar Key, Florida",0.0,0.0,0.0,99.22,0.0,0.0,0.78,0.0
635,"Casselberry, Florida",8.67,2.83,0.04,53.35,26.18,0.8,2.91,5.21
636,"Cape Coral, Florida",4.9,1.66,0.03,71.28,19.1,0.16,1.36,1.5
637,"Bunnell, Florida",19.61,2.71,0.0,61.51,9.42,0.0,0.39,6.36
638,"Brooksville, Florida",10.55,0.31,0.0,79.92,5.33,0.0,2.96,0.93
639,"Chipley, Florida",40.14,0.0,0.17,52.45,5.16,0.0,2.09,0.0
640,"Bradenton Beach, Florida",1.83,0.0,0.0,91.07,6.03,1.08,0.0,0.0
641,"Boynton Beach, Florida",30.95,1.95,0.18,47.92,15.39,0.1,1.82,1.69
642,"Bowling Green, Florida",9.59,0.0,0.0,20.1,58.17,0.0,0.58,11.55
643,"Boca Raton, Florida",4.37,2.96,0.02,73.66,13.01,0.09,2.17,3.72
644,"Blountstown, Florida",23.18,1.33,0.0,67.84,2.42,0.28,4.95,0.0
645,"Belleview, Florida",3.01,0.16,0.0,87.78,7.46,0.0,1.59,0.0
646,"Bradenton, Florida",18.07,1.01,0.0,60.17,16.48,0.08,1.77,2.42
647,"Florida City, Florida",49.13,0.19,0.0,2.97,43.65,0.0,0.74,3.33
648,"Bonifay, Florida",7.52,0.29,1.02,84.49,2.44,1.86,2.37,0.0
649,"Fort Myers, Florida",22.04,2.55,0.11,45.44,21.33,0.05,1.75,6.74
650,"Juno Beach, Florida",0.4,0.82,0.0,94.46,4.27,0.0,0.0,0.06
651,"Jupiter, Florida",1.66,2.82,0.03,77.2,14.11,0.16,2.29,1.73
652,"Jupiter Inlet Colony, Florida",0.0,2.23,0.0,89.96,3.57,0.0,3.57,0.67
653,"Jupiter Island, Florida",16.95,4.12,0.0,75.03,3.89,0.0,0.0,0.0
654,"Kenneth City, Florida",6.42,15.8,0.14,60.99,13.63,0.23,1.81,0.98
655,"Key West, Florida",12.99,1.9,0.0,59.63,21.93,0.1,1.36,2.08
656,"Kissimmee, Florida",10.06,2.41,0.01,16.38,57.37,0.08,4.35,9.34
657,"Lady Lake, Florida",3.75,1.97,0.12,80.83,8.43,0.68,1.26,2.95
658,"Lake Alfred, Florida",26.35,1.38,0.0,53.93,12.23,0.64,5.14,0.32
659,"Lake City, Florida",35.59,2.01,0.0,51.73,6.11,0.71,3.56,0.3
660,"Lake Clarke Shores, Florida",4.7,0.0,0.0,72.88,19.9,0.0,2.52,0.0
661,"Lake Hamilton, Florida",24.22,0.0,0.0,51.55,20.43,0.0,1.06,2.73
662,"Lakeland, Florida",20.05,2.34,0.07,58.12,15.2,0.31,2.05,1.85
663,"Lake Mary, Florida",5.39,6.84,0.0,73.66,9.26,0.16,1.75,2.93
664,"Lake Park, Florida",52.59,3.64,0.0,32.57,4.16,0.0,5.45,1.58
665,"Fort Lauderdale, Florida",30.08,1.59,0.06,45.84,17.8,0.27,1.94,2.42
666,"Longwood, Florida",8.58,3.0,0.07,69.59,13.3,0.62,2.29,2.55
667,"Live Oak, Florida",33.2,0.11,0.0,38.82,17.21,0.0,10.65,0.0
668,"Lighthouse Point, Florida",0.38,1.83,0.0,82.23,11.29,1.46,2.44,0.36
669,"Leesburg, Florida",26.34,1.26,0.0,50.93,18.0,0.24,2.44,0.79
670,"Lawtey, Florida",52.82,0.0,0.0,42.58,3.11,0.35,1.15,0.0
671,"Jennings, Florida",8.71,0.0,0.0,22.62,41.55,0.18,0.09,26.85
672,"Lauderhill, Florida",75.85,0.99,0.0,9.53,9.03,0.36,2.32,1.92
673,"Lauderdale-by-the-Sea, Florida",3.26,0.38,0.0,81.96,10.94,0.68,2.14,0.65
674,"Largo, Florida",5.36,2.21,0.23,76.74,11.02,0.38,2.68,1.38
675,"Lantana, Florida",21.94,0.17,0.0,54.87,19.2,0.0,2.53,1.28
676,"Lake Worth, Florida",15.55,1.3,0.02,32.06,43.95,1.12,2.0,3.99
677,"Lake Wales, Florida",23.21,0.23,0.0,55.2,15.68,0.04,4.39,1.24
678,"Lake Placid, Florida",5.28,0.0,0.0,41.06,39.76,1.11,2.32,10.47
679,"Lauderdale Lakes, Florida",83.75,1.27,0.0,7.95,4.43,0.12,2.17,0.32
680,"Jay, Florida",0.0,0.0,0.0,98.99,0.76,0.25,0.0,0.0
681,"Lake Helen, Florida",5.42,0.17,0.0,84.24,5.7,0.24,0.17,4.05
682,"Jacksonville Beach, Florida",1.95,2.02,0.0,87.42,4.87,0.29,2.36,1.08
683,"Haines City, Florida",26.1,0.27,0.0,27.13,39.81,0.2,3.37,3.13
684,"Gulf Stream, Florida",2.16,1.35,0.0,91.35,4.19,0.0,0.95,0.0
685,"Gulfport, Florida",7.51,2.06,0.0,83.86,4.35,0.65,1.13,0.44
686,"Gulf Breeze, Florida",0.78,0.31,0.0,92.11,3.17,0.38,0.18,3.07
687,"Groveland, Florida",20.04,3.83,0.71,46.57,21.83,0.2,2.67,4.14
688,"Green Cove Springs, Florida",14.81,1.18,0.0,64.17,13.81,0.1,3.06,2.88
689,"Hallandale Beach, Florida",18.72,1.83,0.01,40.2,34.2,0.07,3.28,1.69
690,"Golden Beach, Florida",0.0,0.48,0.0,67.69,30.37,0.0,0.0,1.45
691,"Gainesville, Florida",21.01,7.09,0.09,55.78,10.8,0.4,3.95,0.88
692,"Fruitland Park, Florida",10.07,0.0,0.0,82.22,4.82,0.3,2.44,0.16
693,"Fort Walton Beach, Florida",11.38,3.44,0.0,66.69,10.02,0.18,5.32,2.97
694,"Jasper, Florida",49.16,0.0,0.0,38.14,8.93,0.0,3.04,0.73
695,"Fort Pierce, Florida",36.29,0.9,0.45,34.6,21.92,0.26,1.88,3.7
696,"Graceville, Florida",21.68,0.58,0.0,68.2,5.96,0.19,2.76,0.62
697,"Havana, Florida",43.18,0.0,0.0,52.75,1.9,0.0,0.98,1.18
698,"Gretna, Florida",80.49,0.0,0.0,1.53,17.97,0.0,0.0,0.0
699,"Indian Shores, Florida",0.0,0.0,0.0,96.22,3.47,0.0,0.0,0.31
700,"Hialeah, Florida",2.37,0.46,0.01,2.52,90.55,0.02,0.61,3.45
701,"Indian Rocks Beach, Florida",0.21,0.26,0.0,95.4,2.71,0.0,0.9,0.52
702,"Indian Harbour Beach, Florida",1.52,1.3,0.31,87.66,6.5,0.0,1.84,0.87
703,"Indialantic, Florida",0.66,2.29,0.0,88.32,7.06,0.0,1.15,0.52
704,"Howey-in-the-Hills, Florida",0.0,0.0,0.0,85.36,13.41,0.41,0.82,0.0
705,"Homestead, Florida",18.61,0.89,0.17,11.95,61.2,0.3,3.09,3.8
706,"Hypoluxo, Florida",15.05,1.13,0.0,74.3,5.96,0.0,2.94,0.62
707,"Jacksonville, Florida",30.17,4.67,0.08,50.47,9.32,0.22,3.33,1.74
708,"Holly Hill, Florida",19.19,1.97,0.06,66.67,7.71,0.14,2.4,1.86
709,"Hillsboro Beach, Florida",0.86,0.98,0.12,88.81,8.92,0.0,0.0,0.31
710,"High Springs, Florida",10.14,0.32,0.08,73.72,9.66,1.66,3.66,0.76
711,"Highland Beach, Florida",0.75,1.1,0.0,89.72,7.01,0.0,1.41,0.0
712,"Hialeah Gardens, Florida",2.13,0.12,0.0,2.51,89.18,0.0,0.65,5.4
713,"Hollywood, Florida",16.6,2.25,0.05,37.28,34.59,0.24,3.88,5.11
714,"Nashville, Georgia",20.86,0.0,0.0,75.08,1.72,1.19,1.15,0.0
715,"Pelham, Georgia",65.92,0.58,0.0,33.36,0.0,0.0,0.14,0.0
716,"Palmetto, Georgia",53.55,2.29,0.0,24.07,15.27,0.04,1.58,3.19
717,"Oxford, Georgia",33.54,4.63,0.0,54.54,4.72,0.0,2.06,0.51
718,"Newnan, Georgia",29.39,3.67,0.05,50.92,11.86,0.19,2.62,1.29
719,"Mount Zion, Georgia",8.68,0.54,0.0,73.6,12.4,0.0,2.19,2.6
720,"Lilburn, Georgia",14.52,18.73,0.0,26.62,26.28,0.77,4.31,8.78
721,"Monroe, Georgia",45.11,0.25,0.0,50.28,1.94,0.0,1.84,0.58
722,"Milton, Georgia",9.79,11.33,0.06,68.14,7.81,0.05,2.25,0.56
723,"Millen, Georgia",55.39,0.0,0.0,37.14,3.73,3.73,0.0,0.0
724,"McDonough, Georgia",62.05,1.35,0.0,22.99,6.34,0.05,5.94,1.3
725,"Marietta, Georgia",28.62,2.37,0.04,45.3,14.74,0.9,3.11,4.93
726,"Manchester, Georgia",47.5,1.71,0.0,42.91,2.93,0.49,0.66,3.81
727,"Pine Mountain, Georgia",40.42,1.04,0.0,53.26,3.96,0.0,1.32,0.0
728,"Morrow, Georgia",43.87,32.19,0.0,8.12,12.74,0.0,1.0,2.07
729,"Pooler, Georgia",23.79,2.57,0.59,62.75,5.69,0.35,3.76,0.5
730,"Waynesboro, Georgia",72.94,0.0,0.0,24.2,1.24,0.0,1.62,0.0
731,"Sandersville, Georgia",61.37,0.51,0.0,36.97,0.89,0.0,0.25,0.02
732,"Lavonia, Georgia",23.08,0.0,0.0,65.14,10.89,0.0,0.47,0.42
733,"Woodstock, Georgia",11.09,4.28,0.0,69.03,9.78,0.23,2.79,2.8
734,"Warner Robins, Georgia",38.26,3.22,0.0,45.08,7.71,0.56,3.73,1.45
735,"Tyrone, Georgia",28.13,2.56,0.0,61.29,6.63,0.0,1.01,0.37
736,"Thunderbolt, Georgia",32.94,2.41,0.0,56.54,3.67,0.0,2.37,2.07
737,"Thomasville, Georgia",53.13,0.28,0.09,40.31,2.7,0.0,2.58,0.92
738,"Rincon, Georgia",19.43,2.21,0.07,67.46,7.33,0.13,2.18,1.2
739,"Tallapoosa, Georgia",4.31,0.0,0.0,93.39,0.0,0.0,1.28,1.02
740,"Suwanee, Georgia",10.24,20.28,0.0,58.33,7.09,0.49,2.16,1.41
741,"Springfield, Georgia",20.31,0.0,0.0,75.06,1.82,0.76,0.95,1.09
742,"Sparta, Georgia",87.17,1.67,0.0,11.05,0.05,0.0,0.0,0.05
743,"Snellville, Georgia",37.18,3.33,0.0,36.93,11.8,0.7,2.72,7.34
744,"Shiloh, Georgia",23.46,0.0,0.0,75.36,0.95,0.0,0.24,0.0
745,"Sandy Springs, Georgia",18.67,7.02,0.03,55.51,13.34,1.43,2.62,1.39
746,"Sylvania, Georgia",43.03,1.03,0.0,53.4,1.18,0.11,0.39,0.86
747,"Lake City, Georgia",39.83,19.72,0.0,12.61,16.72,0.0,1.73,9.39
748,"Centerville, Georgia",30.17,3.45,0.0,57.71,5.64,0.22,2.41,0.4
749,"Homerville, Georgia",50.86,0.0,0.0,45.78,0.9,0.0,2.46,0.0
750,"Acworth, Georgia",26.89,3.05,0.43,52.47,10.45,0.25,3.01,3.44
751,"Kennesaw, Georgia",24.08,4.76,0.03,52.14,12.36,0.09,4.01,2.54
752,"Albany, Georgia",72.65,0.92,0.05,21.31,2.28,0.26,1.74,0.79
753,"Alma, Georgia",42.84,0.62,0.71,47.43,2.65,0.0,4.06,1.69
754,"Alpharetta, Georgia",11.99,19.44,0.03,56.08,8.25,0.35,2.43,1.42
755,"Americus, Georgia",66.28,0.91,0.0,27.56,2.13,0.11,2.17,0.83
756,"Bainbridge, Georgia",59.92,0.44,0.0,34.26,2.55,0.16,0.32,2.35
757,"Barnesville, Georgia",58.91,0.23,0.0,34.6,1.2,0.29,4.65,0.12
758,"Blackshear, Georgia",24.65,0.0,0.0,70.35,1.33,0.26,2.9,0.51
759,"Blakely, Georgia",67.66,1.18,0.0,24.03,3.08,0.06,0.93,3.06
760,"Braselton, Georgia",11.51,5.72,0.0,71.12,6.38,0.0,4.86,0.41
761,"Brookhaven, Georgia",9.12,5.67,0.02,52.51,21.21,2.82,2.21,6.45
762,"Calhoun, Georgia",6.72,1.34,0.0,57.05,25.63,2.33,2.03,4.88
763,"Clarkston, Georgia",57.06,28.58,0.03,6.16,4.34,0.87,1.72,1.25
764,"Claxton, Georgia",46.03,2.21,0.0,37.11,6.87,0.0,0.99,6.79
765,"Adairsville, Georgia",9.87,0.0,0.04,84.18,4.37,0.0,1.17,0.37
766,"Donalsonville, Georgia",51.59,0.0,0.0,35.03,6.4,0.0,1.95,5.03
767,"College Park, Georgia",76.91,0.38,0.0,13.5,4.14,0.53,2.31,2.21
768,"Grovetown, Georgia",30.32,1.23,0.0,44.51,12.87,1.33,7.84,1.91
769,"Grantville, Georgia",30.15,0.46,0.0,61.66,4.95,1.05,1.32,0.4
770,"Glennville, Georgia",34.72,0.06,0.0,56.87,5.24,0.1,0.73,2.29
771,"Forest Park, Georgia",39.99,5.1,0.0,14.82,26.44,0.78,2.78,10.09
772,"Folkston, Georgia",39.35,0.92,0.3,30.7,17.85,2.3,5.13,3.43
773,"Fairburn, Georgia",66.88,0.0,0.0,8.22,18.59,0.14,1.2,4.97
774,"Hampton, Georgia",55.08,1.11,0.0,33.25,7.97,0.0,2.59,0.0
775,"Ellijay, Georgia",1.26,0.62,0.0,43.69,29.74,0.0,0.49,24.21
776,"Elberton, Georgia",40.47,0.0,0.0,48.13,9.12,0.0,0.86,1.42
777,"Edison, Georgia",72.71,0.0,0.0,18.22,2.35,0.0,4.45,2.27
778,"Eatonton, Georgia",55.12,0.27,0.0,30.71,10.63,0.0,0.48,2.8
779,"Dunwoody, Georgia",11.55,16.19,0.02,58.57,8.79,0.51,3.31,1.06
780,"Emerson, Georgia",1.43,9.58,0.0,65.38,13.32,0.5,0.0,9.8
781,"Douglasville, Georgia",63.39,2.17,0.0,25.47,5.76,0.01,2.3,0.91
782,"Ocean City, Maryland",1.53,0.3,0.0,89.42,5.75,0.0,2.97,0.03
783,"North East, Maryland",13.7,0.8,0.0,78.93,3.91,0.0,2.65,0.0
784,"New Carrollton, Maryland",56.45,2.36,0.0,6.6,19.46,0.33,3.88,10.92
785,"Mount Rainier, Maryland",35.32,1.55,0.0,14.1,27.13,0.25,3.88,17.77
786,"Oakland, Maryland",2.7,0.0,0.0,93.36,1.83,0.0,1.57,0.54
787,"Mount Airy, Maryland",2.93,1.88,0.0,86.08,4.77,0.59,3.22,0.53
788,"Hurlock, Maryland",22.83,2.06,0.0,56.23,10.53,0.0,4.67,3.67
789,"La Plata, Maryland",29.31,3.85,0.0,57.6,3.15,0.26,5.67,0.15
790,"Landover Hills, Maryland",26.96,0.18,0.0,9.06,39.08,0.57,5.73,18.42
791,"Hyattsville, Maryland",22.17,3.12,0.0,17.97,29.74,0.58,3.16,23.26
792,"Havre de Grace, Maryland",15.74,3.2,0.1,71.55,4.22,0.37,3.7,1.11
793,"Ocean Pines, Maryland",5.25,2.34,0.44,86.8,2.68,0.07,1.74,0.69
794,"Hampstead, Maryland",2.04,2.51,0.0,90.26,2.35,0.63,1.39,0.83
795,"Morningside, Maryland",49.89,0.69,0.0,27.99,9.53,0.0,6.33,5.57
796,"Perryville, Maryland",13.12,2.95,0.0,74.31,6.23,0.0,2.86,0.54
797,"Sykesville, Maryland",1.81,2.62,0.78,88.88,5.01,0.0,0.91,0.0
798,"Princess Anne, Maryland",72.11,1.36,0.0,25.11,0.14,0.0,1.28,0.0
799,"Hagerstown, Maryland",16.28,2.75,0.13,63.83,8.15,0.44,6.47,1.95
800,"Westminster, Maryland",9.0,3.9,0.0,73.25,6.89,0.27,3.67,3.02
801,"Thurmont, Maryland",0.41,0.35,0.0,94.34,2.16,0.0,2.59,0.15
802,"Taneytown, Maryland",3.67,0.7,0.0,89.23,3.89,0.22,1.75,0.54
803,"Takoma Park, Maryland",32.93,4.79,0.0,42.36,9.98,0.13,4.88,4.93
804,"St. Michaels, Maryland",31.86,2.36,0.0,59.94,5.37,0.38,0.09,0.0
805,"Pocomoke City, Maryland",43.59,1.73,0.0,47.85,3.43,0.51,2.9,0.0
806,"Snow Hill, Maryland",36.47,0.0,0.0,54.73,0.47,0.0,8.34,0.0
807,"Seat Pleasant, Maryland",70.27,0.26,0.0,1.54,16.1,2.95,5.45,3.45
808,"Salisbury, Maryland",40.79,4.37,0.11,44.24,5.79,0.42,2.6,1.69
809,"Rock Hall, Maryland",12.86,0.37,0.0,81.63,1.4,0.15,0.66,2.94
810,"Riverdale Park, Maryland",18.61,1.51,0.0,12.68,41.02,2.71,0.95,22.52
811,"Rising Sun, Maryland",1.59,0.0,0.0,85.41,2.56,3.22,4.64,2.56
812,"Ridgely, Maryland",12.77,1.21,0.0,72.8,7.54,0.0,5.43,0.26
813,"Smithsburg, Maryland",4.21,1.13,0.0,87.52,3.12,0.0,2.52,1.49
814,"Greensboro, Maryland",8.9,0.04,0.0,67.89,14.54,2.01,4.37,2.25
815,"Laurel, Maryland",46.65,6.51,0.0,21.62,14.56,0.37,3.37,6.93
816,"Glenarden, Maryland",82.78,0.73,0.0,1.47,8.66,0.0,2.87,3.48
817,"Centreville, Maryland",9.76,2.34,0.0,83.67,3.64,0.04,0.0,0.55
818,"Capitol Heights, Maryland",76.85,0.27,0.0,1.91,13.1,0.0,1.2,6.67
819,"Cambridge, Maryland",45.22,1.63,0.0,38.09,6.8,0.05,5.57,2.64
820,"Brunswick, Maryland",6.96,0.88,0.0,81.02,3.89,0.0,7.17,0.08
821,"Brentwood, Maryland",17.02,2.81,0.0,8.83,39.75,0.0,1.91,29.68
822,"Bowie, Maryland",50.85,5.21,0.0,31.45,6.79,0.1,3.75,1.86
823,"Chestertown, Maryland",19.86,3.84,0.0,71.74,2.93,0.0,1.64,0.0
824,"Boonsboro, Maryland",1.08,1.7,0.0,91.6,2.64,0.4,2.58,0.0
825,"Berwyn Heights, Maryland",10.83,8.7,0.0,37.16,23.7,0.36,5.57,13.67
826,"Berlin, Maryland",16.76,2.33,0.0,76.2,2.8,0.0,1.79,0.11
827,"Bel Air, Maryland",5.3,3.92,0.0,83.07,3.9,0.49,1.24,2.08
828,"Bel Air, Maryland",0.98,0.52,0.0,95.73,0.0,0.0,2.76,0.0
829,"Baltimore, Maryland",61.1,2.53,0.03,26.94,5.01,0.25,2.44,1.69
830,"Aberdeen, Maryland",26.53,6.34,0.0,51.12,7.84,0.23,5.07,2.87
831,"Greenbelt, Maryland",43.49,7.14,0.0,22.93,15.28,0.37,2.42,8.38
832,"Bladensburg, Maryland",58.42,0.67,0.0,3.6,23.36,0.0,1.07,12.87
833,"Cheverly, Maryland",45.65,2.88,0.0,31.41,10.33,0.0,7.01,2.72
834,"Annapolis, Maryland",19.54,1.94,0.0,47.71,18.65,0.14,1.84,10.18
835,"Cottage City, Maryland",29.23,4.71,1.89,8.55,32.12,1.82,4.4,17.28
836,"Colmar Manor, Maryland",23.66,8.79,0.0,9.39,42.93,0.0,1.08,14.15
837,"Frostburg, Maryland",13.37,2.47,0.0,77.28,3.08,0.26,3.18,0.34
838,"Frederick, Maryland",17.73,5.87,0.04,53.42,16.1,0.29,4.18,2.37
839,"Forest Heights, Maryland",60.54,0.59,0.0,1.47,20.12,0.88,0.85,15.54
840,"Federalsburg, Maryland",44.63,0.14,0.0,38.8,10.14,1.6,3.17,1.53
841,"Fairmount Heights, Maryland",73.57,0.2,0.0,1.54,11.45,0.0,2.29,10.95
842,"Elkton, Maryland",16.77,3.03,0.0,67.92,7.35,0.0,3.79,1.15
843,"Fruitland, Maryland",26.05,6.73,0.0,56.15,4.73,0.19,5.49,0.67
844,"Edmonston, Maryland",19.65,1.05,0.0,9.28,39.88,1.31,2.2,26.62
845,"Easton, Maryland",12.43,1.72,0.0,67.66,11.24,0.15,5.64,1.15
846,"District Heights, Maryland",84.08,0.34,0.09,0.98,6.76,0.0,1.83,5.91
847,"Denton, Maryland",23.84,0.45,0.0,65.6,6.51,0.0,2.43,1.18
848,"Delmar, Maryland",28.66,6.29,0.0,48.33,9.42,0.0,3.92,3.37
849,"Cumberland, Maryland",6.83,0.51,0.02,87.02,2.1,0.01,3.26,0.26
850,"Crisfield, Maryland",34.91,0.43,0.0,45.67,10.32,0.0,2.57,6.08
851,"Oneida, New York",1.99,0.42,0.66,91.35,3.03,2.4,0.15,0.0
852,"Olean, New York",4.75,1.56,0.0,89.41,1.51,0.43,2.33,0.01
853,"North Tonawanda, New York",1.56,0.49,0.0,93.28,1.9,0.38,1.99,0.4
854,"Ogdensburg, New York",6.9,1.48,0.29,80.01,4.87,0.93,2.56,2.96
855,"Norwich, New York",2.68,0.64,0.1,88.78,3.87,0.0,3.44,0.49
856,"Peekskill, New York",16.07,1.61,0.0,24.97,30.56,0.22,5.21,21.35
857,"Niagara Falls, New York",21.07,1.38,0.05,65.47,4.63,1.34,5.04,1.03
858,"Mechanicville, New York",2.48,0.61,0.0,88.22,3.32,0.5,4.88,0.0
859,"Mount Vernon, New York",59.23,1.69,0.0,14.71,14.88,0.47,2.51,6.5
860,"Newburgh, New York",18.88,0.8,0.0,15.1,38.07,0.45,4.14,22.55
861,"New Rochelle, New York",17.43,4.39,0.05,38.95,24.84,0.11,3.07,11.16
862,"New York, New York",20.47,11.76,0.04,27.11,24.54,0.36,2.96,12.76
863,"Middletown, New York",17.94,3.24,0.03,26.53,32.65,0.38,3.89,15.34
864,"Rochester, New York",37.46,3.07,0.01,34.02,17.02,1.06,4.28,3.09
865,"Port Washington, New York",2.18,8.65,0.0,69.91,12.93,0.0,0.59,5.74
866,"Syracuse, New York",28.43,6.49,0.02,47.93,8.95,0.79,5.18,2.2
867,"Tonawanda, New York",0.28,0.26,0.0,93.04,2.54,0.58,2.96,0.33
868,"Tonawanda, New York",5.27,1.71,0.02,84.27,4.52,0.18,2.79,1.25
869,"Troy, New York",16.58,3.94,0.0,61.06,9.82,0.08,6.72,1.78
870,"Utica, New York",14.9,10.57,0.04,54.73,11.58,0.42,3.92,3.83
871,"Watertown, New York",7.79,1.32,0.2,76.81,7.48,0.98,4.5,0.92
872,"Watervliet, New York",10.28,3.82,0.0,70.54,7.64,0.0,5.78,1.93
873,"Yonkers, New York",15.28,5.8,0.04,32.1,30.74,0.44,3.2,12.39
874,"Long Beach, New York",6.46,3.08,0.0,69.91,12.74,0.08,3.15,4.57
875,"Poughkeepsie, New York",34.17,1.1,0.04,36.09,15.48,0.18,5.73,7.19
876,"Rome, New York",6.82,1.21,0.0,81.23,6.59,0.11,2.74,1.31
877,"Rye, New York",1.18,5.47,0.0,80.88,6.98,0.81,3.1,1.59
878,"Port Jervis, New York",5.73,0.79,0.0,71.44,10.47,0.9,6.08,4.59
879,"Salamanca, New York",2.36,0.5,0.0,61.81,6.64,19.57,7.61,1.51
880,"Saratoga Springs, New York",2.13,3.66,0.0,88.96,3.18,0.12,1.46,0.48
881,"Schenectady, New York",19.61,6.25,0.08,50.6,9.79,0.42,6.42,6.83
882,"Little Falls, New York",0.9,0.88,0.0,93.96,3.62,0.23,0.19,0.21
883,"Cohoes, New York",5.08,1.57,0.0,80.98,4.92,0.34,6.91,0.21
884,"Cortland, New York",2.1,0.44,0.0,90.53,3.08,0.0,2.79,1.06
885,"Dunkirk, New York",4.38,0.42,0.0,60.1,29.12,0.6,2.15,3.22
886,"Albany, New York",28.22,6.57,0.02,47.11,9.66,0.24,5.08,3.1
887,"Amsterdam, New York",3.42,0.57,0.0,53.27,25.37,0.04,4.39,12.94
888,"Beacon, New York",15.91,2.26,0.08,52.83,18.0,1.05,4.69,5.19
889,"Binghamton, New York",12.67,4.22,0.07,68.08,6.84,0.38,5.41,2.33
890,"Canandaigua, New York",1.63,0.55,0.0,92.86,2.14,0.86,0.64,1.31
891,"Buffalo, New York",33.97,5.15,0.04,40.56,10.74,0.44,3.73,5.37
892,"Ithaca, New York",6.79,16.64,0.0,63.06,6.6,0.21,4.64,2.05
893,"Jamestown, New York",4.44,0.46,0.07,78.3,8.32,0.4,4.25,3.76
894,"Kingston, New York",15.79,2.8,0.0,58.41,13.54,0.37,6.43,2.67
895,"Lackawanna, New York",10.04,0.56,0.18,71.08,8.87,0.19,5.36,3.72
896,"Johnstown, New York",4.36,0.6,0.0,85.21,5.05,0.0,2.84,1.94
897,"Elmira, New York",14.48,0.52,0.02,70.76,5.46,0.88,6.48,1.39
898,"Gloversville, New York",1.99,0.88,0.05,89.3,4.29,1.04,1.14,1.33
899,"Glen Cove, New York",7.35,4.24,0.0,46.11,23.12,0.58,2.44,16.17
900,"Geneva, New York",9.66,3.38,0.0,61.86,14.62,1.53,4.3,4.64
901,"Glens Falls, New York",1.71,1.59,0.22,88.3,4.63,0.2,2.86,0.49
902,"Newport, North Carolina",10.12,2.64,0.0,75.09,7.7,0.15,4.32,0.0
903,"Oxford, North Carolina",59.38,0.59,0.0,35.25,2.35,0.57,1.26,0.59
904,"Newton, North Carolina",13.94,1.45,0.0,57.16,13.53,0.28,2.56,11.08
905,"North Wilkesboro, North Carolina",10.39,0.26,0.64,64.35,14.79,0.24,3.16,6.18
906,"Newland, North Carolina",0.45,0.0,0.0,73.22,23.05,0.0,3.28,0.0
907,"Oak Island, North Carolina",0.0,0.0,0.0,95.73,2.31,0.65,0.21,1.1
908,"Ocean Isle Beach, North Carolina",0.0,1.11,0.0,93.05,2.64,1.25,0.0,1.95
909,"Raeford, North Carolina",39.97,1.12,0.0,31.06,11.4,3.91,3.22,9.32
910,"Pine Level, North Carolina",6.79,0.0,0.0,62.65,19.89,0.43,3.72,6.53
911,"Pineville, North Carolina",33.54,4.9,0.0,45.61,10.82,0.26,2.01,2.86
912,"Pittsboro, North Carolina",16.91,1.31,0.0,69.79,5.81,0.0,4.14,2.06
913,"Plymouth, North Carolina",69.9,0.0,0.0,29.05,0.08,0.08,0.0,0.88
914,"Raleigh, North Carolina",27.38,4.24,0.06,50.39,10.36,0.34,2.81,4.41
915,"Red Springs, North Carolina",54.5,0.0,0.0,23.6,7.97,7.55,2.33,4.04
916,"New Bern, North Carolina",31.48,5.71,0.03,51.63,6.64,0.48,1.76,2.26
917,"Reidsville, North Carolina",35.63,1.06,0.17,55.36,3.02,0.5,3.37,0.89
918,"Nags Head, North Carolina",1.97,0.0,0.0,89.01,1.5,0.0,4.22,3.3
919,"Manteo, North Carolina",6.88,0.32,0.0,85.12,4.48,0.0,1.07,2.13
920,"Murfreesboro, North Carolina",51.53,0.29,0.0,42.31,2.73,0.0,3.15,0.0
921,"Roanoke Rapids, North Carolina",35.94,1.28,0.24,55.76,4.25,0.54,1.59,0.41
922,"Long View, North Carolina",13.56,1.13,0.0,66.46,8.4,0.69,2.59,7.17
923,"Louisburg, North Carolina",55.75,0.0,0.0,37.88,3.02,0.0,2.99,0.36
924,"Lowell, North Carolina",15.16,0.95,0.0,66.39,9.77,0.0,3.74,4.0
925,"Maggie Valley, North Carolina",1.8,0.0,0.0,90.27,4.98,2.04,0.24,0.66
926,"Marion, North Carolina",8.33,0.77,0.16,61.65,17.44,1.17,2.34,8.13
927,"Marshville, North Carolina",50.3,0.53,0.0,34.08,13.77,0.0,1.32,0.0
928,"Matthews, North Carolina",9.23,2.73,0.0,72.23,8.6,0.41,2.93,3.87
929,"Mebane, North Carolina",24.01,2.15,0.0,59.85,7.96,0.16,4.04,1.84
930,"Mint Hill, North Carolina",15.33,2.37,0.08,67.92,7.51,0.34,3.72,2.72
931,"Mocksville, North Carolina",14.84,1.19,0.0,53.63,19.89,0.07,2.08,8.31
932,"Monroe, North Carolina",22.61,0.92,0.04,41.8,28.37,0.44,1.42,4.4
