,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
99,"National City, California",4.76,17.4,0.5,9.14,57.14,0.45,2.7,7.91
100,"Napa, California",0.57,2.78,0.12,45.41,34.84,0.92,3.05,12.3
101,"Murrieta, California",4.78,8.14,0.43,43.76,26.09,0.62,7.27,8.9
102,"Mount Shasta, California",1.11,0.42,0.57,81.62,11.16,0.0,5.12,0.0
103,"Mountain View, California",0.65,4.88,0.0,47.04,24.57,1.9,11.58,9.4
104,"Mountain View, California",1.69,29.25,0.34,41.46,16.59,0.28,4.45,5.95
105,"Morro Bay, California",1.07,2.82,0.0,77.96,12.83,0.69,2.38,2.24
106,"Morgan Hill, California",1.84,11.0,0.12,45.35,30.17,0.68,5.75,5.09
107,"Moreno Valley, California",13.27,4.63,0.32,11.27,42.2,0.3,2.17,25.83
108,"Moraga, California",0.99,15.59,0.93,67.78,7.16,0.34,6.05,1.17
109,"Moorpark, California",1.5,7.4,0.65,49.53,29.09,0.88,5.95,5.02
110,"Monterey Park, California",0.49,56.5,0.59,3.31,22.84,0.51,2.02,13.74
111,"Monterey, California",4.23,6.93,0.07,62.71,16.01,0.56,6.28,3.21
112,"Montclair, California",2.13,7.61,0.22,9.72,50.76,0.55,2.94,26.07
113,"Rosemead, California",0.19,48.89,0.02,3.07,27.83,0.39,1.37,18.24
114,"Sebastopol, California",1.91,2.6,1.03,74.35,8.95,0.18,8.92,2.07
115,"Ross, California",1.94,1.22,0.0,88.55,4.46,0.0,2.99,0.84
116,"Victorville, California",15.06,3.39,0.16,19.71,47.98,0.83,5.43,7.44
117,"Vernon, California",14.05,6.61,0.0,4.13,49.59,0.0,0.0,25.62
118,"Vallejo, California",18.76,21.01,0.91,21.39,22.57,0.33,6.06,8.96
119,"Vacaville, California",9.13,6.89,0.74,46.75,22.24,0.52,7.1,6.65
120,"Upland, California",4.61,7.46,0.08,33.03,36.33,0.59,4.58,13.32
121,"Union City, California",4.28,47.23,1.35,12.7,17.79,0.31,4.68,11.65
122,"Ukiah, California",0.73,1.71,0.22,49.32,33.95,2.35,3.87,7.85
123,"Twentynine Palms, California",11.19,3.28,1.15,53.02,20.73,1.12,6.37,3.15
124,"Tustin, California",2.16,17.05,0.25,24.17,33.1,0.24,3.99,19.04
125,"Turlock, California",2.13,5.06,0.24,45.85,33.3,0.61,4.15,8.67
126,"Villa Park, California",0.61,12.46,0.0,68.45,12.49,0.0,2.85,3.14
127,"Tulelake, California",0.0,0.0,0.0,23.76,75.3,0.0,0.0,0.95
128,"Truckee, California",0.6,1.24,0.13,74.94,17.83,0.13,1.71,3.42
129,"Tracy, California",4.36,14.03,0.74,29.38,34.53,0.36,7.92,8.68
130,"Torrance, California",2.46,33.74,0.56,35.22,16.15,0.57,5.99,5.3
131,"Thousand Oaks, California",1.31,9.25,0.11,65.43,17.64,0.36,3.95,1.95
132,"Temple City, California",0.49,55.19,0.33,13.73,17.7,0.41,2.33,9.8
133,"Temecula, California",4.47,7.61,0.49,46.61,26.16,0.5,5.92,8.23
134,"Tehachapi, California",8.72,1.83,0.23,49.45,32.39,0.76,4.33,2.3
135,"Taft, California",0.67,4.44,0.0,56.64,29.92,0.2,6.3,1.83
136,"Sutter Creek, California",0.27,1.7,0.0,86.28,6.61,2.28,1.97,0.89
137,"Susanville, California",14.4,2.11,1.2,47.36,28.99,2.4,2.06,1.49
138,"Sunnyvale, California",1.6,43.1,0.23,29.34,16.26,0.4,4.15,4.91
139,"Tulare, California",3.4,1.42,0.15,27.21,53.92,0.88,3.44,9.57
140,"Visalia, California",1.88,5.02,0.06,33.94,44.53,0.83,4.2,9.53
141,"Vista, California",2.77,4.25,0.09,36.36,45.59,0.3,3.5,7.12
142,"Walnut, California",3.0,57.39,0.06,10.11,18.24,0.38,3.29,7.52
143,"Long Beach, California",10.87,11.08,0.68,23.71,35.82,0.76,3.92,13.16
144,"Yucca Valley, California",4.66,1.11,0.21,65.63,18.15,1.42,3.93,4.88
145,"Yucaipa, California",1.02,3.26,0.1,55.98,31.65,0.47,2.99,4.52
146,"Yuba City, California",2.32,17.47,0.61,39.97,27.95,0.84,6.52,4.32
147,"Yreka, California",1.58,0.41,1.42,68.16,11.37,5.72,9.38,1.96
148,"Yountville, California",2.54,2.0,0.0,77.04,12.17,0.0,2.61,3.64
149,"Yorba Linda, California",1.49,18.32,0.06,57.07,16.75,0.15,4.58,1.57
150,"Woodland, California",1.39,6.87,0.18,33.66,41.74,0.94,3.77,11.46
151,"Woodlake, California",0.73,0.45,0.23,5.99,72.01,0.27,1.5,18.82
152,"Winters, California",0.49,0.56,0.0,43.27,42.29,0.72,1.88,10.78
153,"Windsor, California",0.71,2.56,0.0,50.06,27.96,0.84,5.36,12.51
154,"Willits, California",0.81,1.98,0.0,62.79,17.18,4.11,7.73,5.39
155,"Williams, California",1.8,2.71,0.49,15.97,70.57,0.86,1.78,5.82
156,"Wildomar, California",4.28,4.11,0.66,38.61,34.61,0.72,3.07,13.94
157,"Whittier, California",0.97,3.45,0.06,17.86,48.75,0.52,2.56,25.82
158,"Wheatland, California",0.18,3.66,1.4,69.13,15.91,0.86,8.15,0.7
159,"West Sacramento, California",4.82,8.62,1.21,41.82,27.89,0.66,8.77,6.22
160,"Westminster, California",0.85,45.36,0.18,22.69,20.97,0.5,3.13,6.33
161,"Westlake Village, California",1.56,7.5,0.0,77.28,7.49,0.51,5.14,0.51
162,"West Hollywood, California",3.43,5.02,0.13,71.67,10.16,0.19,4.97,4.43
163,"West Covina, California",3.25,22.93,0.26,8.71,41.02,0.44,3.53,19.85
164,"Weed, California",9.34,1.07,0.0,51.79,22.1,2.52,8.31,4.86
165,"Watsonville, California",0.38,1.76,0.04,10.49,57.06,0.51,1.16,28.6
166,"Waterford, California",0.76,1.99,0.07,38.65,46.28,0.0,3.46,8.78
167,"Walnut Creek, California",1.84,14.26,0.21,66.68,9.48,0.17,5.24,2.12
168,"Suisun City, California",18.54,18.48,0.64,25.72,22.19,0.55,6.65,7.22
169,"Stockton, California",10.01,18.31,0.69,17.64,35.58,0.58,9.11,8.08
170,"St. Helena, California",1.44,0.86,0.0,57.78,29.36,0.0,1.06,9.5
171,"Stanton, California",1.25,23.42,0.82,16.66,42.69,1.11,3.19,10.86
172,"Santa Barbara, California",1.15,3.41,0.14,49.73,32.23,0.6,3.18,9.57
173,"Santa Ana, California",0.79,8.33,0.17,6.61,54.11,0.44,1.31,28.23
174,"San Ramon, California",2.5,44.61,0.59,37.74,7.17,0.35,5.59,1.45
175,"San Rafael, California",1.72,5.01,0.0,46.76,26.01,0.33,3.99,16.18
176,"San Pablo, California",9.11,12.68,0.33,6.73,49.23,0.37,3.1,18.45
177,"San Mateo, California",1.75,20.52,1.81,38.47,22.15,0.41,5.84,9.04
178,"San Marino, California",1.94,57.81,0.34,29.65,4.15,0.0,3.43,2.67
179,"San Marcos, California",2.57,8.73,0.58,38.56,35.85,0.68,5.79,7.25
180,"San Luis Obispo, California",2.1,5.53,0.0,67.48,17.44,0.38,3.45,3.63
181,"San Leandro, California",9.51,30.53,0.87,20.66,24.14,0.88,5.8,7.6
182,"San Juan Capistrano, California",0.75,2.07,0.18,47.28,29.77,0.52,3.21,16.21
183,"San Jose, California",2.54,29.98,0.43,22.06,27.1,0.46,4.42,13.01
184,"San Jacinto, California",5.82,3.29,0.05,27.1,45.68,1.91,4.16,12.0
185,"Sanger, California",0.04,2.23,0.0,10.12,67.33,0.64,1.9,17.73
186,"San Gabriel, California",0.66,51.08,0.24,10.2,22.48,0.38,1.77,13.2
187,"San Francisco, California",4.78,31.34,0.31,37.24,13.97,0.29,4.99,7.1
188,"San Fernando, California",0.79,0.85,0.11,3.21,66.86,0.38,1.25,26.56
189,"San Dimas, California",3.05,13.39,0.06,41.41,30.11,0.83,4.53,6.62
190,"San Diego, California",6.02,15.47,0.37,39.63,27.79,0.41,4.76,5.54
191,"Sand City, California",4.44,2.07,0.0,53.25,31.66,0.89,2.66,5.03
192,"San Clemente, California",0.6,3.63,0.83,67.68,15.79,0.28,4.43,6.75
193,"San Bruno, California",1.21,27.16,2.13,28.69,24.25,0.14,6.75,9.67
194,"San Bernardino, California",11.34,3.51,0.24,12.57,53.1,0.66,3.79,14.79
195,"Salinas, California",0.9,3.81,0.03,9.12,54.33,0.49,2.3,29.01
196,"Sacramento, California",11.79,16.6,1.51,28.51,25.16,0.66,6.15,9.62
197,"Santa Clara, California",2.7,38.22,0.64,31.25,16.06,0.28,4.95,5.9
198,"Roseville, California",1.76,9.65,0.36,64.91,14.36,0.46,5.03,3.47
199,"Santa Clarita, California",3.57,9.98,0.07,42.81,30.21,0.75,6.03,6.59
200,"Santa Fe Springs, California",3.07,4.95,0.02,9.23,53.81,1.21,2.37,25.35
201,"Stallion Springs, California",0.0,1.32,0.0,75.4,18.31,1.35,2.86,0.76
202,"South San Francisco, California",1.57,33.46,0.88,16.92,28.3,0.19,5.14,13.53
203,"South Pasadena, California",2.89,28.08,0.08,39.79,18.29,0.26,5.52,5.1
204,"South Lake Tahoe, California",1.23,5.41,0.15,58.42,25.23,0.28,2.33,6.96
205,"South Gate, California",0.62,0.54,0.14,2.26,69.04,0.46,1.5,25.44
206,"South El Monte, California",0.25,9.9,0.0,2.19,64.82,0.59,1.3,20.95
207,"Sonora, California",1.16,5.62,0.42,66.08,16.27,0.64,3.46,6.35
208,"Sonoma, California",0.31,2.85,0.0,73.28,14.6,0.05,4.19,4.71
209,"Solvang, California",0.76,2.07,0.0,59.8,27.82,0.28,1.98,7.28
210,"Soledad, California",6.4,1.61,0.16,10.05,53.92,0.63,3.63,23.61
211,"Solana Beach, California",0.9,5.21,0.0,66.11,15.01,0.94,4.46,7.36
212,"Simi Valley, California",1.15,9.31,0.11,56.27,24.7,0.46,4.48,3.52
213,"Signal Hill, California",10.61,21.97,0.18,25.79,30.7,0.33,4.09,6.33
214,"Sierra Madre, California",1.27,11.97,0.19,63.62,15.62,0.21,5.11,2.02
215,"Shafter, California",1.66,0.58,0.0,10.99,73.55,0.11,1.36,11.75
216,"Selma, California",0.25,3.39,0.87,9.0,73.62,0.53,3.61,8.72
217,"Seaside, California",6.57,8.73,2.65,27.67,38.84,0.77,6.03,8.74
218,"Seal Beach, California",2.08,10.1,0.25,68.46,11.82,0.38,4.52,2.41
219,"Scotts Valley, California",0.46,6.68,0.0,75.28,10.72,0.38,5.35,1.12
220,"Sausalito, California",1.45,3.39,0.28,86.13,6.69,0.36,0.78,0.93
221,"Saratoga, California",0.45,48.99,0.03,43.48,3.05,0.45,3.32,0.23
222,"Santee, California",1.97,5.05,0.24,64.86,17.01,0.77,7.11,3.0
223,"Santa Rosa, California",1.88,4.59,0.45,45.71,27.39,1.33,5.46,13.19
224,"Santa Paula, California",0.22,1.49,0.0,14.39,73.19,0.48,2.67,7.57
225,"Santa Monica, California",4.23,9.52,0.12,61.71,15.23,0.33,5.64,3.21
226,"Santa Cruz, California",1.71,9.08,0.17,57.78,19.51,0.39,5.4,5.95
227,"Lompoc, California",3.85,3.25,0.32,26.02,46.35,1.73,5.78,12.7
228,"El Monte, California",0.45,22.65,0.46,3.17,52.08,0.66,2.19,18.34
229,"Loma Linda, California",11.76,24.81,1.26,32.27,23.76,0.2,4.02,1.92
230,"Coachella, California",0.35,0.11,0.01,0.74,57.03,0.34,0.38,41.05
231,"Clovis, California",2.68,9.72,0.27,47.2,25.91,1.0,4.34,8.87
232,"Cloverdale, California",0.9,3.91,0.09,53.52,25.45,2.09,4.62,9.43
233,"Clearlake, California",4.16,0.16,0.0,49.56,23.84,3.76,2.57,15.95
234,"Clayton, California",1.86,6.65,0.0,71.98,10.31,0.95,7.09,1.17
235,"Claremont, California",4.57,13.3,0.07,45.6,22.98,0.9,5.36,7.22
236,"Citrus Heights, California",3.63,3.46,0.16,66.0,17.93,0.33,4.95,3.54
237,"Chula Vista, California",4.17,14.37,0.59,16.12,52.89,0.3,4.97,6.59
238,"Chowchilla, California",6.0,2.64,0.35,28.4,41.83,2.47,4.52,13.78
239,"Chino Hills, California",3.79,30.56,0.05,26.57,26.13,0.54,4.35,7.99
240,"Chino, California",4.86,10.3,0.46,19.2,40.8,0.41,5.54,18.42
241,"Coalinga, California",2.56,1.99,0.48,23.21,44.46,2.3,5.33,19.68
242,"Chico, California",2.0,4.07,0.2,67.05,16.76,0.62,4.62,4.69
