,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
11936,"Lowell, Michigan",25.07,53.27,14.68,0.79,6.19
11937,"Pilgrim, Michigan",48.15,37.04,0.0,0.0,14.81
11938,"Ponshewaing, Michigan",0.0,85.19,14.81,0.0,0.0
11939,"Presque Isle Harbor, Michigan",8.73,75.22,8.38,0.71,6.95
11940,"Rapid City, Michigan",24.45,58.35,9.54,0.49,7.17
11941,"St. James, Michigan",21.33,46.0,14.0,0.0,18.67
11942,"Sand Lake, Michigan",17.52,56.5,12.85,1.9,11.24
11943,"Snover, Michigan",19.83,49.01,23.51,0.0,7.65
11944,"South Boardman, Michigan",28.64,54.27,13.16,2.31,1.62
11945,"Stronach, Michigan",33.33,40.52,7.84,5.23,13.07
11946,"Village of Grosse Pointe Shores, Michigan",18.8,66.69,5.79,0.0,8.71
11947,"Vineyard Lake, Michigan",21.2,53.07,15.37,1.46,8.9
11948,"Wacousta, Michigan",23.97,60.04,7.92,0.0,8.07
11949,"Walloon Lake, Michigan",15.77,55.38,16.92,0.0,11.92
11950,"Watersmeet, Michigan",18.36,69.49,4.8,0.0,7.34
11951,"Wedgewood, Michigan",22.39,72.14,0.0,2.49,2.99
11952,"Wellston, Michigan",29.17,57.87,4.17,0.0,8.8
11953,"White Pine, Michigan",24.81,51.86,13.9,0.5,8.93
11954,"Zeba, Michigan",36.44,38.19,16.03,0.0,9.33
11955,"Dexter, Michigan",25.17,53.04,13.74,2.36,5.69
11956,"Parkdale, Michigan",16.64,50.41,19.58,0.16,13.21
11957,"Omena, Michigan",22.45,64.8,3.06,2.55,7.14
11958,"Oden, Michigan",46.61,40.24,7.17,0.0,5.98
11959,"Oak Hill, Michigan",34.88,45.45,11.57,0.0,8.1
11960,"Hickory Corners, Michigan",39.04,35.06,25.9,0.0,0.0
11961,"Jasper, Michigan",33.58,41.42,18.28,0.0,6.72
11962,"Horton Bay, Michigan",23.69,59.04,12.05,0.6,4.62
11963,"Interlochen, Michigan",16.28,66.11,16.94,0.0,0.66
11964,"Ironton, Michigan",14.94,52.87,12.64,0.0,19.54
11965,"Jennings, Michigan",28.69,22.36,33.76,10.97,4.22
11966,"K. I. Sawyer, Michigan",35.6,35.56,23.8,1.14,3.91
11967,"Lake Leelanau, Michigan",5.22,86.96,7.83,0.0,0.0
11968,"Lake Victoria, Michigan",23.95,61.62,9.94,0.0,4.48
11969,"Ovid, Michigan",32.16,40.5,15.47,1.56,10.31
11970,"Leland, Michigan",18.86,43.42,27.76,0.0,9.96
11971,"Loomis, Michigan",33.33,37.58,23.03,0.0,6.06
11972,"Lupton, Michigan",30.58,31.62,20.27,1.03,16.49
11973,"Manistee Lake, Michigan",20.45,46.97,22.73,0.0,9.85
11974,"Maple City, Michigan",31.53,36.04,29.73,0.0,2.7
11975,"Maple Grove, Michigan",0.0,77.03,0.0,0.0,22.97
11976,"Marenisco, Michigan",16.33,63.95,12.93,1.36,5.44
11977,"Nessen City, Michigan",11.32,54.72,22.64,3.77,7.55
11978,"New Troy, Michigan",29.84,35.66,20.93,3.88,9.69
11979,"Norwood, Michigan",9.42,75.36,13.04,0.0,2.17
11980,"Levering, Michigan",49.65,34.97,13.29,2.1,0.0
11981,"Haring, Michigan",29.91,36.32,33.76,0.0,0.0
11982,"Bay Shore, Michigan",35.77,47.25,15.64,0.0,1.33
11983,"Caseville, Michigan",17.99,42.53,24.09,0.61,14.79
11984,"St. Ignace, Michigan",25.87,39.92,21.19,1.23,11.78
11985,"Eastlake village, Michigan",25.56,47.12,17.04,0.0,10.28
11986,"Fountain village, Michigan",27.14,45.0,18.57,0.0,9.29
11987,"Free Soil village, Michigan",29.63,43.21,12.35,0.0,14.81
11988,"Trowbridge Park, Michigan",39.03,46.21,7.94,0.0,6.83
11989,"Maple Rapids village, Michigan",36.41,51.45,5.07,2.36,4.71
11990,"Spring Arbor, Michigan",53.0,34.43,5.39,0.0,7.18
11991,"Burr Oak village, Michigan",30.45,46.37,15.74,2.25,5.19
11992,"Fowler village, Michigan",31.4,55.2,5.79,0.0,7.6
11993,"Bay City, Michigan",36.81,39.03,16.74,1.31,6.11
11994,"Le Roy village, Michigan",29.07,55.07,5.29,3.52,7.05
11995,"Reed City, Michigan",34.58,34.24,20.77,1.16,9.25
11996,"Auburn, Michigan",30.88,47.88,12.03,0.96,8.26
11997,"Pinconning, Michigan",38.51,30.26,22.11,0.96,8.16
11998,"Gaastra, Michigan",21.43,59.29,9.29,0.71,9.29
11999,"Kalamazoo, Michigan",58.56,26.18,9.94,1.42,3.91
12000,"Parchment, Michigan",38.71,37.03,17.16,1.35,5.74
12001,"Grant, Michigan",27.82,41.81,11.72,3.95,14.69
12002,"Kent City village, Michigan",32.45,45.66,14.97,2.14,4.78
12003,"Mackinac Island, Michigan",50.11,36.96,6.64,1.14,5.15
12004,"Carsonville village, Michigan",28.47,50.0,15.1,1.73,4.7
12005,"Temperance, Michigan",26.19,58.73,8.33,0.38,6.37
12006,"South Rockwood village, Michigan",31.22,50.09,14.0,0.44,4.24
12007,"Lakes of the North, Michigan",19.43,65.26,6.48,2.24,6.6
12008,"Jonesville, Michigan",34.83,40.76,11.03,3.47,9.91
12009,"Ontonagon village, Michigan",24.21,50.79,12.54,1.73,10.73
12010,"Constantine village, Michigan",27.54,50.32,14.53,1.4,6.22
12011,"Bancroft village, Michigan",18.72,61.5,13.64,2.67,3.48
12012,"Morrice village, Michigan",23.63,61.59,5.15,2.02,7.61
12013,"Vernon village, Michigan",26.35,54.17,13.42,1.47,4.58
12014,"Perrinton village, Michigan",34.09,38.15,21.22,0.68,5.87
12015,"St. Louis, Michigan",52.64,27.12,14.01,1.72,4.51
12016,"Caro, Michigan",27.85,37.61,21.09,1.47,11.98
12017,"Kingsley village, Michigan",33.19,51.18,12.66,0.79,2.18
12018,"Beulah village, Michigan",39.13,38.16,15.46,0.0,7.25
12019,"Port Austin village, Michigan",30.14,42.62,15.37,1.07,10.81
12020,"Port Hope village, Michigan",16.26,67.0,3.45,0.0,13.3
12021,"Sebewaing village, Michigan",19.78,53.72,14.3,2.09,10.11
12022,"New Era village, Michigan",21.08,62.7,9.46,1.08,5.68
12023,"Freeport village, Michigan",29.75,55.52,10.2,0.28,4.25
12024,"Carleton village, Michigan",30.12,45.95,15.88,0.91,7.14
12025,"Dundee village, Michigan",26.14,47.26,19.45,0.56,6.6
12026,"Luna Pier, Michigan",20.65,48.83,22.21,1.96,6.36
12027,"Harbor Beach, Michigan",31.71,44.58,14.01,0.38,9.32
12028,"New Haven village, Michigan",40.39,40.9,12.13,0.0,6.57
12029,"Stockbridge village, Michigan",31.13,47.24,11.67,1.99,7.96
12030,"Eastpointe, Michigan",47.54,33.74,11.43,1.96,5.34
12031,"Rosebush village, Michigan",34.02,40.89,13.4,0.69,11.0
12032,"Barryton village, Michigan",29.81,30.08,25.2,1.9,13.01
12033,"Mecosta village, Michigan",43.07,38.93,10.22,3.89,3.89
12034,"Stanwood village, Michigan",29.55,47.16,14.77,3.41,5.11
12035,"Bellevue village, Michigan",34.6,40.11,18.52,0.63,6.14
12036,"Minden City village, Michigan",21.43,61.43,6.43,0.71,10.0
12037,"Sandusky, Michigan",31.44,37.87,16.29,2.12,12.28
12038,"McBain, Michigan",20.7,45.31,16.21,0.39,17.38
12039,"Fremont, Michigan",26.64,49.7,17.25,0.0,6.4
12040,"Kalkaska village, Michigan",26.11,44.57,17.01,1.39,10.91
12041,"Northview, Michigan",28.99,50.78,14.07,0.5,5.66
12042,"Menominee, Michigan",29.87,43.75,16.17,2.49,7.71
12043,"Lake Odessa village, Michigan",33.49,40.44,14.62,3.3,8.15
12044,"Muir village, Michigan",37.61,33.19,18.7,4.41,6.09
12045,"Saranac village, Michigan",25.52,45.82,18.23,1.16,9.28
12046,"Clare, Michigan",27.99,48.9,16.11,0.68,6.32
12047,"Morley village, Michigan",30.67,40.4,20.2,1.75,6.98
12048,"Hubbardston village, Michigan",28.42,55.79,8.07,0.7,7.02
12049,"Canada Creek Ranch, Michigan",5.88,82.7,3.81,0.0,7.61
12050,"Atlanta, Michigan",18.59,44.41,21.22,0.0,15.79
12051,"Cassopolis village, Michigan",40.44,35.77,13.58,3.58,6.64
12052,"Stanton, Michigan",37.34,34.76,20.59,0.89,6.42
12053,"Burt, Michigan",23.46,55.77,11.06,1.23,8.48
12054,"L'Anse village, Michigan",31.42,41.15,17.89,1.51,8.04
12055,"Benzonia village, Michigan",34.13,36.52,22.67,0.48,6.21
12056,"Elberta village, Michigan",30.37,35.56,13.33,8.15,12.59
12057,"Lake Ann village, Michigan",11.88,68.32,14.85,0.0,4.95
12058,"Thompsonville village, Michigan",31.75,39.57,14.45,4.74,9.48
12059,"Wakefield, Michigan",28.39,41.65,17.19,0.43,12.34
12060,"Stevensville village, Michigan",20.47,50.97,13.0,0.72,14.84
12061,"Hemlock, Michigan",27.08,34.32,24.58,0.0,14.03
12062,"Deerfield village, Michigan",23.19,56.75,14.6,1.64,3.82
12063,"Morenci, Michigan",34.97,40.51,15.78,0.96,7.78
12064,"Martin village, Michigan",26.72,47.11,15.43,2.75,7.99
12065,"Saugatuck, Michigan",25.17,58.37,13.0,1.38,2.07
12066,"Homer village, Michigan",32.53,46.93,12.94,3.0,4.61
12067,"Springfield, Michigan",41.7,38.35,11.27,2.27,6.41
12068,"Paw Paw Lake, Michigan",24.36,49.2,15.4,1.43,9.61
12069,"St. Joseph, Michigan",29.95,50.22,13.56,1.35,4.93
12070,"Adrian, Michigan",45.16,31.54,14.69,2.04,6.57
12071,"Ithaca, Michigan",28.0,53.35,11.63,1.55,5.47
12072,"St. Johns, Michigan",35.5,45.51,10.98,1.58,6.43
12073,"Sherwood village, Michigan",30.25,45.68,19.75,0.93,3.4
12074,"Grand Blanc, Michigan",29.64,44.57,15.68,2.86,7.25
12075,"Allen village, Michigan",27.91,50.7,13.02,0.0,8.37
12076,"Hubbell, Michigan",22.88,60.43,8.48,0.67,7.54
12077,"South Range village, Michigan",30.45,47.39,8.47,2.16,11.53
12078,"Estral Beach village, Michigan",25.47,51.24,16.77,0.0,6.52
12079,"Monroe, Michigan",32.26,45.08,14.76,1.38,6.52
12080,"South Monroe, Michigan",28.93,42.52,15.57,0.81,12.17
12081,"West Monroe, Michigan",31.46,46.51,11.79,0.0,10.24
12082,"Eagle village, Michigan",33.93,50.0,10.71,0.0,5.36
12083,"Escanaba, Michigan",29.99,39.81,20.1,2.24,7.86
12084,"Gladstone, Michigan",26.72,46.93,14.24,1.59,10.52
12085,"Baldwin village, Michigan",46.49,22.73,17.12,6.17,7.48
12086,"Addison village, Michigan",32.02,44.47,15.81,3.75,3.95
12087,"Vermontville village, Michigan",25.27,44.87,24.91,1.28,3.66
12088,"Flat Rock, Michigan",30.68,50.36,12.93,0.86,5.17
12089,"Hillman village, Michigan",25.2,42.33,16.64,2.42,13.41
12090,"Davison, Michigan",23.29,44.38,23.06,1.75,7.53
12091,"Hubbard Lake, Michigan",11.93,68.02,9.72,0.0,10.33
12092,"Applegate village, Michigan",27.07,52.84,12.66,1.75,5.68
12093,"Montgomery village, Michigan",30.0,48.52,14.44,1.48,5.56
12094,"Bingham Farms village, Michigan",19.16,58.41,5.91,0.31,16.21
12095,"De Tour Village village, Michigan",10.48,66.13,10.08,0.81,12.5
12096,"Alanson village, Michigan",27.76,50.84,15.05,0.33,6.02
12097,"Petoskey, Michigan",34.16,40.39,15.75,1.05,8.66
12098,"Benton Harbor, Michigan",53.53,24.47,13.27,2.96,5.77
12099,"Fair Plain, Michigan",38.59,40.22,12.49,2.18,6.51
12100,"Lakewood Club village, Michigan",21.79,50.8,15.83,4.04,7.55
12101,"Republic, Michigan",28.84,38.81,14.56,0.0,17.79
12102,"Wayne, Michigan",40.76,36.39,14.54,1.73,6.59
12103,"Garden village, Michigan",33.96,46.54,10.69,0.0,8.81
12104,"Birch Run village, Michigan",32.95,41.42,15.86,1.09,8.69
12105,"Village of Clarkston, Michigan",23.23,62.86,9.19,0.79,3.94
12106,"Chatham village, Michigan",26.14,42.61,15.91,0.0,15.34
12107,"Hillsdale, Michigan",43.19,34.4,13.91,1.05,7.45
12108,"Lewiston, Michigan",22.84,54.51,13.44,0.0,9.21
12109,"Hersey village, Michigan",25.41,52.05,13.93,1.64,6.97
12110,"White Cloud, Michigan",33.92,34.64,21.27,4.83,5.34
12111,"Union City village, Michigan",30.58,42.0,16.15,3.83,7.44
12112,"Lapeer, Michigan",37.01,31.99,19.27,2.62,9.1
12113,"Clinton village, Michigan",28.88,50.37,13.1,1.1,6.55
12114,"Vanderbilt village, Michigan",31.69,33.21,21.44,4.93,8.73
12115,"Rochester Hills, Michigan",25.84,58.91,9.01,0.55,5.7
12116,"Pontiac, Michigan",47.8,28.12,15.0,2.86,6.22
12117,"Hanover village, Michigan",35.57,40.23,20.7,0.29,3.21
12118,"Springport village, Michigan",26.09,48.65,16.16,4.38,4.71
12119,"Croswell, Michigan",35.38,37.74,20.56,0.97,5.36
12120,"Melvin village, Michigan",32.37,35.25,12.95,0.0,19.42
12121,"Howell, Michigan",33.13,38.66,18.13,1.59,8.47
12122,"Pinckney village, Michigan",29.07,52.87,14.07,1.33,2.66
12123,"Corunna, Michigan",34.04,43.02,13.09,1.6,8.25
12124,"Owosso, Michigan",38.67,39.91,13.61,1.38,6.42
12125,"Perry, Michigan",29.39,47.9,13.96,3.25,5.5
12126,"Whittemore, Michigan",27.15,44.89,15.05,0.81,12.1
12127,"Pewamo village, Michigan",33.87,49.6,9.33,0.27,6.93
12128,"Portland, Michigan",27.05,53.08,11.15,3.03,5.68
12129,"Mulliken village, Michigan",23.93,60.95,10.61,0.9,3.61
12130,"Stephenson, Michigan",29.0,41.87,16.12,2.83,10.18
12131,"Buckley village, Michigan",27.9,50.61,14.56,0.52,6.41
12132,"Manton, Michigan",36.37,36.37,20.74,0.33,6.19
12133,"Shorewood-Tower Hills-Harbert, Michigan",17.0,70.77,5.92,0.9,5.41
12134,"Mio, Michigan",30.38,36.67,24.79,2.25,5.91
12135,"Dryden village, Michigan",28.55,51.23,13.4,0.71,6.11
12136,"Huntington Woods, Michigan",21.95,66.35,7.28,0.27,4.16
12137,"Elk Rapids village, Michigan",20.48,57.91,11.63,2.03,7.95
12138,"Caspian, Michigan",32.93,27.47,18.59,0.0,21.01
12139,"Weidman, Michigan",37.22,33.91,18.45,0.0,10.41
12140,"Potterville, Michigan",37.58,46.58,9.48,1.4,4.96
12141,"Sunfield village, Michigan",35.29,49.36,9.21,0.77,5.37
12142,"Farmington, Michigan",29.01,53.77,11.04,0.47,5.71
12143,"Ferndale, Michigan",51.57,32.84,11.87,1.11,2.61
12144,"Hazel Park, Michigan",47.26,30.26,13.82,1.53,7.13
12145,"Lincoln Park, Michigan",37.96,39.55,13.46,2.26,6.76
12146,"Grand Beach village, Michigan",9.7,71.64,6.72,0.0,11.94
12147,"Lost Lake Woods, Michigan",3.24,70.87,10.03,0.97,14.89
12148,"Galien village, Michigan",39.85,38.83,15.48,1.02,4.82
12149,"Lake Michigan Beach, Michigan",16.07,59.37,20.41,0.0,4.14
12150,"Elsie village, Michigan",30.33,48.48,9.24,1.01,10.94
12151,"Clifford village, Michigan",16.25,51.25,21.25,1.67,9.58
12152,"Norway, Michigan",18.61,55.92,15.35,0.53,9.59
12153,"Columbiaville village, Michigan",37.31,39.25,12.76,4.58,6.1
12154,"Turner village, Michigan",32.48,43.59,17.95,1.71,4.27
12155,"Ashley village, Michigan",23.0,44.15,17.66,1.44,13.76
12156,"Brighton, Michigan",31.39,46.35,11.92,0.56,9.77
12157,"Michiana village, Michigan",12.57,66.86,10.86,0.57,9.14
12158,"Shoreham village, Michigan",21.6,61.17,12.23,0.25,4.74
12159,"Boyne City, Michigan",24.81,51.46,17.25,0.64,5.84
12160,"Mayville village, Michigan",27.24,41.74,17.53,2.27,11.22
12161,"Linden, Michigan",19.43,57.94,15.79,0.75,6.09
12162,"Montrose, Michigan",29.53,44.17,16.63,0.83,8.85
12163,"Mount Morris, Michigan",41.11,36.85,15.91,1.78,4.35
12164,"Millington village, Michigan",31.03,44.35,15.45,0.75,8.42
12165,"Vassar, Michigan",36.8,41.17,12.82,0.97,8.25
12166,"Hart, Michigan",31.97,39.15,19.6,1.48,7.81
12167,"Muskegon Heights, Michigan",47.96,25.24,16.67,2.93,7.2
12168,"Owendale village, Michigan",40.28,37.91,12.8,0.0,9.0
12169,"Wolf Lake, Michigan",35.19,44.22,14.19,1.44,4.95
12170,"Scottville, Michigan",36.32,38.11,20.1,1.59,3.88
12171,"Zeeland, Michigan",20.81,55.28,12.22,0.0,11.7
12172,"Prudenville, Michigan",24.53,50.64,14.75,2.19,7.89
12173,"Roscommon village, Michigan",39.88,26.31,18.1,5.12,10.6
12174,"Millersburg village, Michigan",26.86,42.29,18.86,1.14,10.86
12175,"Franklin village, Michigan",19.91,69.45,5.55,0.39,4.7
12176,"Lake Angelus, Michigan",10.7,80.25,3.7,0.0,5.35
12177,"Leonard village, Michigan",22.49,64.01,8.65,0.69,4.15
12178,"Bear Lake village, Michigan",38.89,27.78,18.06,4.86,10.42
12179,"Bloomingdale village, Michigan",32.88,47.16,14.29,0.98,4.7
12180,"Elkton village, Michigan",31.62,41.28,17.6,1.56,7.94
12181,"Lakeview village, Michigan",23.5,48.58,16.0,1.14,10.78
12182,"Iron Mountain, Michigan",30.47,46.69,15.52,1.58,5.74
12183,"Quinnesec, Michigan",19.87,60.36,14.67,0.0,5.1
12184,"Kinde village, Michigan",26.7,48.5,14.44,3.27,7.08
12185,"Pigeon village, Michigan",19.85,50.29,15.8,0.96,13.1
12186,"Chesaning village, Michigan",34.06,44.37,15.27,0.0,6.3
12187,"Big Rapids, Michigan",69.05,17.42,9.34,0.63,3.56
12188,"Olivet, Michigan",63.58,22.49,10.49,0.5,2.95
12189,"Waverly, Michigan",33.7,46.98,12.79,1.3,5.23
12190,"Belding, Michigan",27.94,45.6,17.97,0.77,7.71
12191,"Mount Clemens, Michigan",43.44,30.33,16.73,2.27,7.23
12192,"Roseville, Michigan",39.54,36.01,15.01,1.71,7.72
12193,"Utica, Michigan",33.33,42.8,14.36,0.14,9.38
12194,"Rockford, Michigan",25.09,57.5,13.08,0.3,4.03
12195,"Capac village, Michigan",36.23,44.1,13.68,0.37,5.62
12196,"Emmett village, Michigan",35.51,49.53,8.41,0.93,5.61
12197,"Fraser, Michigan",29.58,49.29,12.7,0.81,7.62
12198,"Cadillac, Michigan",28.77,45.07,15.62,2.02,8.51
12199,"Harrietta village, Michigan",22.76,62.76,8.28,0.0,6.21
12200,"Grand Ledge, Michigan",30.75,46.67,14.12,0.33,8.13
12201,"Harrisville, Michigan",28.18,38.67,16.3,1.66,15.19
12202,"Fowlerville village, Michigan",24.83,52.22,17.57,0.09,5.28
12203,"New Lothrop village, Michigan",30.53,56.87,4.96,0.57,7.06
12204,"Dansville village, Michigan",23.32,54.2,14.71,0.84,6.93
12205,"Muskegon, Michigan",45.2,27.81,18.23,1.81,6.94
12206,"Almont village, Michigan",29.33,48.82,13.0,1.84,7.01
12207,"Blissfield village, Michigan",30.37,46.75,16.88,1.1,4.89
12208,"East Lansing, Michigan",76.08,17.57,3.81,0.17,2.36
12209,"Jenison, Michigan",20.87,63.16,6.71,0.38,8.88
12210,"Webberville village, Michigan",26.68,56.72,11.91,0.0,4.68
12211,"Romulus, Michigan",37.73,39.82,13.24,2.07,7.14
12212,"Ludington, Michigan",26.92,45.49,16.61,1.21,9.78
12213,"Warren, Michigan",37.06,42.35,11.63,1.59,7.36
12214,"Beal City, Michigan",25.71,58.96,9.35,0.0,5.97
12215,"Mancelona village, Michigan",34.32,33.51,21.83,2.52,7.82
12216,"Barton Hills village, Michigan",15.35,69.29,9.45,0.0,5.91
12217,"Saline, Michigan",31.17,51.26,10.16,1.25,6.17
12218,"Quincy village, Michigan",25.63,54.39,13.17,0.45,6.36
12219,"Cement City village, Michigan",30.59,42.69,17.58,4.11,5.02
12220,"Harrison, Michigan",36.14,38.8,15.97,0.53,8.57
12221,"Reese village, Michigan",28.61,47.25,10.57,2.75,10.82
12222,"Rogers City, Michigan",29.15,50.45,10.69,0.94,8.76
12223,"Michigamme, Michigan",12.92,63.64,12.92,0.48,10.05
12224,"New Buffalo, Michigan",30.94,45.36,13.11,0.34,10.25
12225,"Portage, Michigan",31.02,52.52,10.73,0.77,4.96
12226,"Richland village, Michigan",18.8,57.86,12.8,0.97,9.56
12227,"South Gull Lake, Michigan",16.59,61.56,11.02,0.0,10.83
12228,"Grandville, Michigan",28.59,52.3,11.76,1.11,6.24
12229,"Sand Lake village, Michigan",28.5,43.77,18.32,0.76,8.65
12230,"Wyoming, Michigan",35.68,44.94,13.13,1.4,4.85
12231,"Marine City, Michigan",27.37,48.44,15.09,1.45,7.66
12232,"Marysville, Michigan",24.8,55.35,12.71,0.09,7.06
12233,"Harbor Springs, Michigan",24.54,43.65,14.35,0.1,17.36
12234,"Memphis, Michigan",33.2,45.51,15.74,0.3,5.25
12235,"Northport village, Michigan",16.47,60.71,10.82,0.0,12.0
12236,"Bloomfield Hills, Michigan",24.12,60.79,6.35,1.32,7.41
12237,"Sylvan Lake, Michigan",26.35,50.26,18.33,1.18,3.88
12238,"Otisville village, Michigan",27.57,46.76,19.46,0.41,5.81
12239,"Munising, Michigan",31.41,38.58,17.83,2.42,9.75
12240,"Gwinn, Michigan",23.83,55.84,14.28,0.0,6.05
12241,"Wixom, Michigan",35.23,47.97,12.72,0.47,3.61
12242,"Parma village, Michigan",28.6,58.3,9.61,0.44,3.06
12243,"Au Sable, Michigan",25.97,42.23,15.36,3.59,12.85
12244,"Mackinaw City village, Michigan",31.27,46.97,12.14,1.06,8.58
12245,"Michigan Center, Michigan",22.44,59.42,14.09,0.5,3.55
12246,"Napoleon, Michigan",36.7,51.23,4.19,1.72,6.16
12247,"Belleville, Michigan",25.21,44.36,19.81,1.7,8.93
12248,"Dearborn Heights, Michigan",34.75,45.23,10.87,1.67,7.48
12249,"Gibraltar, Michigan",27.12,51.47,14.98,0.94,5.48
12250,"Grosse Pointe Farms, Michigan",21.07,68.5,5.11,0.18,5.13
12251,"Highland Park, Michigan",58.34,16.26,14.11,2.17,9.13
12252,"Northville, Michigan",20.67,57.48,14.99,0.0,6.86
12253,"Bangor, Michigan",36.25,41.4,13.97,0.64,7.74
12254,"Ann Arbor, Michigan",55.86,34.26,6.76,0.46,2.65
12255,"Paw Paw village, Michigan",30.5,38.59,23.7,2.67,4.54
12256,"Beechwood, Michigan",35.41,44.44,13.63,3.34,3.18
12257,"Berkley, Michigan",31.49,49.29,13.75,0.95,4.51
12258,"Allendale, Michigan",63.31,31.23,3.08,0.24,2.15
12259,"River Rouge, Michigan",48.53,32.74,10.46,3.45,4.83
12260,"Trenton, Michigan",27.8,48.9,13.55,1.0,8.76
12261,"Kentwood, Michigan",37.11,44.73,11.24,1.73,5.19
12262,"Armada village, Michigan",22.86,53.14,11.73,0.61,11.67
12263,"Vicksburg village, Michigan",26.71,55.9,10.78,2.8,3.81
12264,"Grand Rapids, Michigan",46.6,36.4,10.29,1.45,5.26
12265,"Plymouth, Michigan",29.36,53.2,11.04,0.42,5.98
12266,"Comstock Northwest, Michigan",39.13,42.06,10.27,2.06,6.48
12267,"Mattawan village, Michigan",31.64,46.07,15.56,1.13,5.6
12268,"Laingsburg, Michigan",29.53,56.56,7.71,0.3,5.91
12269,"Port Sanilac village, Michigan",19.02,57.43,12.5,1.45,9.6
12270,"Honor village, Michigan",29.7,42.08,12.87,0.0,15.35
12271,"Bessemer, Michigan",29.89,48.71,11.2,1.83,8.37
12272,"Midland, Michigan",28.85,52.45,12.05,1.13,5.52
12273,"Sanford village, Michigan",27.45,45.11,22.34,0.29,4.82
12274,"Carson City, Michigan",35.61,30.86,16.36,6.03,11.14
12275,"Edmore village, Michigan",30.51,43.06,17.49,2.0,6.94
12276,"Pierson village, Michigan",46.1,27.66,20.57,0.0,5.67
12277,"Lawrence village, Michigan",36.65,34.6,21.93,2.18,4.63
12278,"Sheridan village, Michigan",25.75,50.38,13.91,2.44,7.52
12279,"Merrill village, Michigan",31.64,48.6,11.01,0.35,8.39
12280,"Dearborn, Michigan",33.68,50.65,8.24,1.33,6.11
12281,"Detroit, Michigan",55.04,22.61,12.26,3.27,6.82
12282,"Grosse Pointe Woods, Michigan",23.51,63.04,6.63,0.44,6.37
12283,"Inkster, Michigan",49.08,26.42,14.89,2.63,6.98
12284,"Gobles, Michigan",26.44,48.93,14.61,1.48,8.54
12285,"East Jordan, Michigan",25.63,50.37,14.87,1.05,8.07
12286,"Cheboygan, Michigan",28.27,47.22,13.65,0.89,9.97
12287,"Frankenmuth, Michigan",23.49,54.44,8.91,0.0,13.16
12288,"New Baltimore, Michigan",24.47,58.45,11.44,0.71,4.93
12289,"Iron River, Michigan",28.81,35.97,22.24,0.58,12.4
12290,"Eastwood, Michigan",44.48,29.66,20.01,2.75,3.09
12291,"Jackson, Michigan",41.12,33.02,18.6,1.77,5.49
12292,"Tawas City, Michigan",31.58,39.81,15.56,0.51,12.54
12293,"Mesick village, Michigan",20.13,49.03,21.1,2.92,6.82
12294,"East Tawas, Michigan",20.34,47.16,23.64,1.17,7.69
12295,"Oscoda, Michigan",20.69,30.66,33.08,4.68,10.88
12296,"Empire village, Michigan",26.56,48.96,17.84,0.83,5.81
12297,"Greilickville, Michigan",17.57,62.82,8.62,0.0,10.99
12298,"Suttons Bay village, Michigan",13.17,62.85,12.96,0.65,10.37
12299,"Lyons village, Michigan",38.97,42.16,9.85,3.19,5.83
12300,"Charlotte, Michigan",30.06,42.66,17.25,2.15,7.88
12301,"Dimondale village, Michigan",27.81,57.05,6.24,3.12,5.77
12302,"Big Bay, Michigan",21.79,48.6,22.91,0.0,6.7
12303,"Buchanan, Michigan",25.88,45.19,19.63,0.0,9.3
12304,"Coloma, Michigan",30.5,45.12,14.93,1.91,7.55
12305,"Whitmore Lake, Michigan",31.89,48.8,14.15,2.04,3.12
12306,"Coldwater, Michigan",33.21,37.28,19.09,2.48,7.94
12307,"Bellaire village, Michigan",28.22,50.43,12.15,2.45,6.75
12308,"Grayling, Michigan",33.96,34.22,19.75,2.47,9.61
12309,"North Branch village, Michigan",25.88,46.11,18.72,1.76,7.54
12310,"Imlay City, Michigan",32.09,41.59,16.56,1.68,8.08
12311,"Kingsford, Michigan",27.29,48.78,13.56,1.02,9.35
12312,"Fife Lake village, Michigan",24.56,50.58,21.35,0.0,3.51
12313,"Decatur village, Michigan",24.97,48.88,14.26,1.12,10.78
12314,"Lawton village, Michigan",20.28,51.26,17.3,1.34,9.83
12315,"Alma, Michigan",44.69,32.74,14.87,0.57,7.14
12316,"Bad Axe, Michigan",25.16,45.14,18.7,1.53,9.47
12317,"Ubly village, Michigan",29.49,44.77,17.63,0.94,7.18
12318,"Buena Vista, Michigan",42.87,19.32,20.06,3.65,14.1
12319,"Freeland, Michigan",32.42,46.83,17.01,1.07,2.67
12320,"Concord village, Michigan",27.73,48.49,16.01,0.0,7.77
12321,"Saginaw, Michigan",47.85,28.22,14.62,2.75,6.55
12322,"Hudson, Michigan",28.95,49.92,14.47,2.32,4.33
12323,"Barnes Lake-Millers Lake, Michigan",10.61,72.74,10.13,1.85,4.67
12324,"Manitou Beach-Devils Lake, Michigan",15.23,61.96,13.98,1.49,7.33
12325,"Baroda village, Michigan",26.46,45.74,18.83,1.35,7.62
12326,"Bridgman, Michigan",25.33,53.42,12.48,1.59,7.18
12327,"Brownlee Park, Michigan",35.0,30.91,19.13,4.59,10.36
12328,"Burlington village, Michigan",25.63,54.62,10.92,2.94,5.88
12329,"Westphalia village, Michigan",22.9,62.47,6.49,1.4,6.74
