,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
184,"Pine Ridge, Alabama",20.0,61.22,14.29,1.22,3.27
185,"Sand Rock, Alabama",20.8,58.9,9.02,0.0,11.28
186,"Valley Head, Alabama",32.67,39.38,18.69,2.0,7.26
187,"Waterloo, Alabama",16.78,48.32,24.83,0.0,10.07
188,"Eva, Alabama",19.25,64.16,11.28,0.66,4.65
189,"Falkville, Alabama",21.99,44.42,13.81,1.36,18.41
190,"Priceville, Alabama",19.84,62.3,8.69,2.03,7.13
191,"Fyffe, Alabama",21.12,52.29,14.84,1.2,10.56
192,"Childersburg, Alabama",27.2,45.12,17.39,0.71,9.57
193,"Avon, Alabama",23.51,55.3,16.02,0.0,5.17
194,"West End-Cobb Town, Alabama",25.99,39.91,17.17,7.1,9.82
195,"Kinston, Alabama",32.77,39.5,19.66,1.68,6.39
196,"Rehobeth, Alabama",25.86,57.34,11.25,0.58,4.97
197,"Ardmore, Alabama",23.39,43.14,23.68,1.53,8.25
198,"Athens, Alabama",30.19,46.43,12.31,2.25,8.83
199,"Citronelle, Alabama",24.97,49.34,12.74,4.42,8.53
200,"Dauphin Island, Alabama",16.03,64.02,14.43,0.8,4.72
201,"Attalla, Alabama",27.75,44.45,16.34,4.19,7.26
202,"Fort Payne, Alabama",29.8,44.66,16.27,2.29,6.98
203,"Mentone, Alabama",10.99,57.09,18.44,0.71,12.77
204,"Steele, Alabama",17.34,54.93,14.24,2.46,11.03
205,"Homewood, Alabama",38.97,47.35,8.76,1.21,3.7
206,"Irondale, Alabama",35.53,41.12,14.68,3.06,5.61
207,"Wilsonville, Alabama",24.88,51.26,14.77,2.78,6.31
208,"Sardis City, Alabama",22.61,59.55,9.22,1.59,7.03
209,"White Hall, Alabama",42.56,33.28,6.56,4.32,13.28
210,"Mulga, Alabama",23.99,44.27,17.49,3.41,10.84
211,"Monroeville, Alabama",40.98,37.21,10.09,3.23,8.48
212,"Minor, Alabama",26.15,60.84,9.67,1.36,1.98
213,"Tarrant, Alabama",42.96,28.46,15.59,4.0,8.99
214,"Florence, Alabama",34.56,41.15,13.45,1.92,8.92
215,"Hamilton, Alabama",26.71,52.45,12.52,0.9,7.42
216,"Banks, Alabama",40.87,24.35,26.09,5.22,3.48
217,"Wadley, Alabama",57.4,26.16,10.01,1.94,4.48
218,"Wilton, Alabama",37.25,38.31,10.86,4.83,8.75
219,"Lanett, Alabama",36.61,33.72,14.89,3.06,11.72
220,"Tuscumbia, Alabama",28.5,48.62,13.88,0.91,8.09
221,"Boligee, Alabama",68.01,8.42,10.1,3.37,10.1
222,"Malvern, Alabama",26.9,50.59,16.38,0.63,5.51
223,"Thorsby, Alabama",22.35,57.46,10.36,0.07,9.77
224,"Cardiff, Alabama",4.35,91.3,4.35,0.0,0.0
225,"Mobile, Alabama",39.54,36.44,13.42,3.22,7.39
226,"Argo, Alabama",21.02,63.3,11.0,3.76,0.91
227,"Bessemer, Alabama",41.88,29.25,15.34,3.96,9.57
228,"Napier Field, Alabama",40.37,39.13,13.04,1.24,6.21
229,"Fairview, Alabama",19.95,57.18,8.24,4.26,10.37
230,"Vredenburgh, Alabama",63.84,15.72,6.92,7.23,6.29
231,"Scottsboro, Alabama",22.56,52.95,12.17,2.97,9.34
232,"Eufaula, Alabama",35.39,42.06,10.84,2.87,8.84
233,"Warrior, Alabama",24.64,47.57,13.09,2.67,12.03
234,"Double Springs, Alabama",28.48,32.42,19.64,3.85,15.6
235,"Natural Bridge, Alabama",28.57,50.0,21.43,0.0,0.0
236,"Selmont-West Selmont, Alabama",51.91,20.57,12.32,8.67,6.52
237,"North Courtland, Alabama",44.96,28.67,9.91,5.31,11.15
238,"Margaret, Alabama",30.35,53.55,12.97,2.58,0.54
239,"Killen, Alabama",21.49,58.91,11.74,2.41,5.45
240,"McIntosh, Alabama",29.5,54.04,8.07,6.52,1.86
241,"Muscle Shoals, Alabama",25.12,53.54,11.78,1.41,8.14
242,"Forkland, Alabama",46.29,26.69,5.93,7.25,13.84
243,"Albertville, Alabama",25.94,51.3,12.86,1.79,8.11
244,"Hartford, Alabama",29.12,41.57,15.65,5.39,8.27
245,"Gilbertown, Alabama",36.64,36.64,15.27,2.29,9.16
246,"Lisman, Alabama",30.49,44.51,14.63,3.46,6.91
247,"Daleville, Alabama",29.43,39.21,18.74,3.41,9.2
248,"Fairfield, Alabama",46.12,25.55,14.83,4.14,9.35
249,"Douglas, Alabama",27.18,47.95,12.82,5.77,6.28
250,"Town Creek, Alabama",20.38,45.47,21.91,5.77,6.48
251,"Leeds, Alabama",24.12,55.41,12.45,1.35,6.67
252,"Lipscomb, Alabama",36.73,37.46,14.29,3.49,8.03
253,"Sumiton, Alabama",22.47,48.31,18.76,1.51,8.94
254,"West Jefferson, Alabama",17.18,53.52,16.06,0.56,12.68
255,"Needham, Alabama",21.36,56.31,10.68,0.97,10.68
256,"Silas, Alabama",33.73,42.91,13.17,3.19,6.99
257,"Jacksonville, Alabama",51.44,30.97,10.09,2.59,4.9
258,"Weaver, Alabama",19.11,58.07,12.12,2.85,7.85
259,"Gordon, Alabama",36.57,40.28,8.8,2.31,12.04
260,"Faunsdale, Alabama",59.38,15.62,12.5,0.0,12.5
261,"Ariton, Alabama",36.64,33.57,14.98,2.17,12.64
262,"Clayhatchee, Alabama",23.08,50.0,17.79,4.81,4.33
263,"Level Plains, Alabama",25.61,60.82,6.89,1.89,4.8
264,"Newbern, Alabama",25.62,59.38,6.25,0.0,8.75
265,"Phil Campbell, Alabama",26.45,46.15,15.67,3.1,8.63
266,"Blue Ridge, Alabama",16.68,59.7,7.62,0.0,16.0
267,"Millbrook, Alabama",30.66,51.84,11.74,1.19,4.58
268,"Prattville, Alabama",25.91,55.31,11.89,1.17,5.72
269,"Wetumpka, Alabama",33.73,39.33,15.59,1.45,9.9
270,"Rockford, Alabama",28.6,29.97,18.49,13.18,9.76
271,"Concord, Alabama",30.8,51.29,9.23,3.26,5.43
272,"Adamsville, Alabama",28.21,45.49,13.89,2.47,9.95
273,"Parrish, Alabama",31.65,44.94,13.29,2.47,7.65
